query,operator_mode,region,period_start,period_end,requests,captured_at,source_url,capture_status
"helpdesk","broad","Все регионы","2026-07-07","2026-08-05","2475","2026-08-07","https://wordstat.yandex.ru/","captured"
"helpdesk","phrase","Все регионы","2026-07-07","2026-08-05","4","2026-08-07","https://wordstat.yandex.ru/","captured"
"система поддержки клиентов","broad","Все регионы","2026-07-07","2026-08-05","334","2026-08-07","https://wordstat.yandex.ru/","captured"
"система поддержки клиентов","phrase","Все регионы","2026-07-07","2026-08-05","0","2026-08-07","https://wordstat.yandex.ru/","captured"
"сервис поддержки клиентов","broad","Все регионы","2026-07-07","2026-08-05","663","2026-08-07","https://wordstat.yandex.ru/","captured"
"сервис поддержки клиентов","phrase","Все регионы","2026-07-07","2026-08-05","0","2026-08-07","https://wordstat.yandex.ru/","captured"
"омниканальная поддержка","broad","Все регионы","2026-07-07","2026-08-05","14","2026-08-07","https://wordstat.yandex.ru/","captured"
"омниканальная поддержка","phrase","Все регионы","2026-07-07","2026-08-05","3","2026-08-07","https://wordstat.yandex.ru/","captured"
"чат поддержки для сайта","broad","Все регионы","2026-07-07","2026-08-05","158","2026-08-07","https://wordstat.yandex.ru/","captured"
"чат поддержки для сайта","phrase","Все регионы","2026-07-07","2026-08-05","4","2026-08-07","https://wordstat.yandex.ru/","captured"
"виджет чата для сайта","broad","Все регионы","2026-07-07","2026-08-05","39","2026-08-07","https://wordstat.yandex.ru/","captured"
"виджет чата для сайта","phrase","Все регионы","2026-07-07","2026-08-05","3","2026-08-07","https://wordstat.yandex.ru/","captured"
"telegram поддержка клиентов","broad","Все регионы","2026-07-06","2026-08-06","14","2026-08-07","https://wordstat.yandex.ru/","captured"
"telegram поддержка клиентов","phrase","Все регионы","2026-07-06","2026-08-06","0","2026-08-07","https://wordstat.yandex.ru/","captured"
"ии бот поддержки","broad","Все регионы","2026-07-07","2026-08-05","348","2026-08-07","https://wordstat.yandex.ru/","captured"
"ии бот поддержки","phrase","Все регионы","2026-07-07","2026-08-05","17","2026-08-07","https://wordstat.yandex.ru/","captured"
"автоматизация клиентской поддержки","broad","Все регионы","2026-07-06","2026-08-06","24","2026-08-07","https://wordstat.yandex.ru/","captured"
"автоматизация клиентской поддержки","phrase","Все регионы","2026-07-06","2026-08-06","0","2026-08-07","https://wordstat.yandex.ru/","captured"
